city,Locality,rooms,bathroom,parking_spaces,floor,association_tax,rent_amount,property_tax,fire_insurance,total_rent,animal_allowed,furnishing,rooms_outlier,bathrooms_outlier,parking_outlier
Bangalore,brookefield,2,2,1,8,2475,4800,99,63,7437,0,0,0,0,0
Delhi,rohini sector 16,3,2,2,10,4026,14850,858,192,19926,1,1,0,0,0
Bangalore,haralur road,3,2,0,6,0,7500,450,114,8064,1,0,0,0,0
Mumbai,mulund east,2,2,1,6,1719,4500,321,66,6606,1,1,0,0,0
Bangalore,sarjapur  road,2,2,1,1,840,3000,414,39,4293,0,0,0,0,0
Bangalore,subramanyapura,2,2,0,1,2550,18000,750,231,21531,1,1,0,0,0
Delhi,mansarover garden,2,1,0,7,4200,15000,732,195,20127,0,1,0,0,0
Bangalore,begur road,3,4,3,2,7500,15450,3750,198,26898,0,0,0,0,0
Chennai,perungalathur,3,3,2,4,1200,5550,0,72,6822,0,0,0,0,0
Kolkata,uttarpara kotrung,3,3,0,6,0,10500,426,174,11100,1,0,0,0,0
Bangalore,uttarahalli,2,2,1,2,1200,4500,108,60,5868,1,0,0,0,0
Bangalore,uttarahalli,2,1,1,6,1452,4800,405,63,6720,1,0,0,0,0
Bangalore,kasavanhalli,2,1,1,6,0,4500,489,69,5058,1,0,0,0,0
Chennai,choolaimedu,4,5,2,6,0,18000,0,273,18273,1,0,0,0,0
Bangalore,mathikere,4,6,4,1,15600,19200,8376,246,43410,1,0,0,0,0
Mumbai,thane west,1,1,1,2,900,4500,69,66,5535,1,1,0,0,0
Bangalore,frazer town,4,6,5,13,21600,18000,3501,231,43320,1,0,0,0,1
Mumbai,thane east,5,4,4,4,6000,12000,3750,177,21927,0,0,0,0,0
Delhi,patel nagar,2,2,1,5,4800,11850,1500,153,18303,0,0,0,0,0
Delhi,sector 22 dwarka,2,2,2,2,2100,3600,24,48,5772,1,0,0,0,0
Mumbai,chembur,2,2,1,2,1200,6600,276,99,8175,1,0,0,0,0
Mumbai,kalyan west,1,1,0,4,600,2100,114,33,2847,1,0,0,0,0
Kolkata,dakshineswar,2,1,1,2,600,3150,81,42,3873,1,0,0,0,0
Mumbai,titwala east,1,1,0,1,660,2700,270,36,3666,1,0,0,0,0
Bangalore,maithri layout,4,6,10,6,9000,42000,6000,633,57630,1,0,0,0,1
Delhi,khanpur,2,1,1,9,1500,8019,0,105,9624,1,0,0,0,0
Bangalore,kada agrahara,4,6,4,13,9099,29940,7500,381,46920,1,0,0,0,0
Chennai,guduvancheri,1,1,1,2,2154,4800,39,63,7056,0,0,0,0,0
Delhi,karol bagh,1,1,1,6,0,8400,0,111,8511,1,1,0,0,0
Delhi,greater kailash 1,1,1,0,6,0,5550,0,72,5622,1,0,0,0,0
Kolkata,new town,2,1,1,11,2691,3900,375,54,7020,1,0,0,0,0
Bangalore,singasandra,3,2,1,1,0,19500,0,249,19749,0,1,0,0,0
Delhi,dwarka mor,1,2,0,6,0,3600,0,57,3657,0,0,0,0,0
Bangalore,thanisandra,4,2,2,6,0,19500,1500,294,21294,1,1,0,0,0
Kolkata,dum dum,2,3,1,4,1800,11280,840,153,14073,1,0,0,0,0
Chennai,kotturpuram,1,1,0,4,1290,1950,210,27,3477,1,0,0,0,0
Delhi,mehrauli,3,1,0,6,0,4800,120,75,4995,1,0,0,0,0
Bangalore,yeshwanthpur,4,4,6,8,11700,24000,5250,306,41250,1,0,0,0,1
Mumbai,vasai east,3,2,1,7,2964,9600,726,141,13431,1,0,0,0,0
